chlorophyll,sst,ssh,salinity,month,location,fish_name
2.66,28.89,0.35,32.26,7,Visakhapatnam,Pomfret
1.86,13.54,0.65,34.96,6,Mumbai,Cod
4.76,26.22,0.45,29.9,3,Gujarat,Hilsa
1.33,13.92,0.65,33.46,6,Visakhapatnam,Salmon
2.02,25.35,0.65,34.56,9,Mangalore,Snapper
2.05,28.46,0.57,35.85,10,Chennai,Kingfish
0.89,20.79,0.4,35.78,10,Gujarat,Shark
2.76,29.87,0.22,36.38,7,Goa,Seer Fish
1.8,11.22,0.23,34.23,6,Goa,Cod
4.34,26.61,0.21,30.14,2,Gujarat,Hilsa
2.37,28.95,0.46,34.06,4,Goa,Kingfish
1.81,13.0,0.35,32.14,9,Goa,Salmon
3.78,24.77,0.5,32.92,7,Visakhapatnam,Croakers
2.01,28.14,0.63,34.62,9,Mumbai,Ribbonfish
2.7,26.31,0.52,33.84,8,Kochi,Mackerel
2.06,28.63,0.39,33.23,9,Gujarat,Mackerel
3.99,17.22,0.6,31.3,6,Mumbai,Herring
3.15,27.46,0.65,30.26,3,Mumbai,Bombay Duck
1.98,27.68,0.67,35.39,3,Mangalore,Seer Fish
2.66,29.05,0.33,34.4,3,Mumbai,Seer Fish
1.89,29.78,0.64,34.63,5,Chennai,Seer Fish
1.9,22.5,0.32,36.47,12,Gujarat,Shark
3.06,28.5,0.3,29.91,12,Goa,Hilsa
3.11,26.82,0.26,31.1,1,Chennai,Catfish
4.66,27.65,0.33,30.32,5,Mangalore,Hilsa
2.75,27.41,0.63,33.49,9,Chennai,Snapper
3.89,24.18,0.5,32.79,11,Visakhapatnam,Hilsa
3.82,22.58,0.59,29.39,3,Mangalore,Tilapia
3.93,25.01,0.52,28.42,9,Visakhapatnam,Tilapia
2.64,26.38,0.7,33.88,2,Chennai,Pomfret
1.63,29.91,0.26,35.67,4,Visakhapatnam,Barracuda
2.12,28.44,0.56,34.32,7,Goa,Seer Fish
1.89,28.69,0.58,33.03,6,Goa,Pomfret
2.1,26.04,0.27,31.62,12,Kochi,Catfish
